analyte	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_Ghana_l	education_Ghana_m	education_Ghana_u	aspirin_l	aspirin_m	aspirin_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	PSA_l	PSA_m	PSA_u
IL18	-0.0143481846493913	-0.00491224458853683	0.00452369547231762	-0.033415674393405	-0.0186723009006131	-0.00392892740782123	-0.142497363496847	-0.0838612015222591	-0.0252250395476711	-0.423869380882108	-0.205991422067543	0.0118865367470215	-0.0716518946908376	0.0184629326849678	0.108577760060773	-0.191211562040212	0.0688341341887601	0.328879830417732	-0.0350611495828605	-0.014020584708726	0.00701998016540853
GZMH	-0.0190742944229593	-0.00390996157450835	0.0112543712739426	-0.0334846830191061	-0.00979086751033309	0.0139029479984399	-0.225280509161861	-0.131047367428888	-0.0368142256959149	-0.394797598487041	-0.044649773628352	0.305498051230337	-0.0947434409991776	0.0500785087052877	0.194900458409753	-0.922283122900844	-0.504368270963324	-0.0864534190258034	-0.0561664202647951	-0.0223524995517476	0.0114614211613
CXCL1	-0.0106039502088821	-0.00451232786014435	0.00157929448859336	-0.0100360098249121	-0.000518032507838565	0.00899994480923498	-0.0432116550617599	-0.00535751944569923	0.0324966161703614	-0.0511785629610368	0.0894783545959376	0.230135272152912	-0.0358914929466007	0.022284533273874	0.0804605594943487	-0.278147491291969	-0.110268068083974	0.0576113551240216	-0.00267709445407207	0.0109062024289877	0.0244894993120475
TNFSF14	-0.0113015719238564	-0.00187894561620189	0.00754368069145264	-0.0121489246436487	0.00257364650886217	0.017296217661373	-0.0817473572609357	-0.0231939286848311	0.0353594998912735	-0.0790607433268733	0.138509797959321	0.356080339245516	0.0284234195697643	0.118411098345261	0.208398777120757	-0.279479878411382	-0.0198010967874166	0.239877684836549	-0.0368825625170235	-0.0158716850811426	0.0051391923547383
TWEAK	-0.00416490678038172	0.000144611834525374	0.00445413044943247	-0.0050307931702922	0.00170270048311716	0.00843619413652651	-0.0439127653370816	-0.0171328547074551	0.00964705592217138	-0.151065270566875	-0.051557525367792	0.0479502198312915	-0.105707683625951	-0.0645510502062167	-0.0233944167864824	-0.0668220457413256	0.0519442627979161	0.170710571337158	-0.00913574199119919	0.000473762245629563	0.0100832664824583
PDGFsubunitB	-0.00258970561695987	-0.000981311768898552	0.00062708207916277	-0.00152523802247361	0.000987829151813802	0.00350089632610121	0.00114888849416087	0.0111436575988424	0.0211384267035239	-0.0364597088137973	0.000678463570245095	0.0378166359542875	-0.00685001576493025	0.00851041817547235	0.023870852115875	-0.0197065507013931	0.0246192817362949	0.068945114173983	-0.00203025053681854	0.00155619817788733	0.0051426468925932
PDCD1	-0.00530390385402362	0.00209538346337775	0.00949467078077912	-0.0240267313091007	-0.0124655666771321	-0.000904402045163425	-0.0952882841361271	-0.0493081478866845	-0.00332801163724186	-0.208744769206278	-0.0378935761083086	0.132957616989661	-0.120091172670967	-0.0494267242947197	0.0212377240815273	-0.182615080882909	0.0213023676852841	0.225219816253477	-0.0214530874531512	-0.00495391685434536	0.0115452537444605
FASLG	-0.00573353433276518	0.000766198597780987	0.00726593152832716	-0.0193792756710682	-0.00922363780346572	0.000932000064136785	-0.082341108886988	-0.0419509208983885	-0.00156073290978893	-0.152371289471109	-0.00229100763229285	0.147789274206523	-0.0732433937963927	-0.011169842327482	0.0509037091414287	-0.280556678795637	-0.101430109071199	0.0776964606532378	-0.0250683909554191	-0.0105750758741742	0.00391823920707074
MCP2	-0.00141376905084041	0.00604891697218293	0.0135116029952063	-0.00618938272566667	0.00547084048339299	0.0171310636924527	-0.0348763413813046	0.011497762691996	0.0578718667652966	-0.203876183641502	-0.0315611003022508	0.140753983037	-0.0768409496186875	-0.00557103285496366	0.0656988839087602	-0.233975847995003	-0.028311190305391	0.177353467384221	-0.0148812778094812	0.00175926127725192	0.018399800363985
CCL4	-0.0218434543678682	-0.00829223835505295	0.0052589776577623	-0.045026152008921	-0.0238527832009439	-0.0026794143929668	-0.163829783656363	-0.0796207602887313	0.00458826307890042	0.0552659968823043	0.368166594521335	0.681067192160366	-0.0494611106029883	0.079955299828991	0.20937171026097	-0.552964539238416	-0.179505680865525	0.193953177507367	-0.0525555646611631	-0.0223386241335407	0.00787831639408181
