analyte	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_NCIMD_l	education_NCIMD_m	education_NCIMD_u	aspirin_l	aspirin_m	aspirin_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	PSA_l	PSA_m	PSA_u
CCL4	-0.00158688043323912	0.0108315228036595	0.0232499260405581	-0.0280022829123614	-0.010410456786511	0.00718136933933943	-0.135171417639853	-0.0485544454341598	0.0380625267715331	0.0380085004751323	0.229232432754218	0.420456365033304	-0.0968985401177704	0.0327624410804679	0.162423422278706	-0.227190696024934	-0.0167759500687438	0.193638795887446	-0.115791524880812	-0.0266863215306827	0.0624188818194464
Gal1	0.00574579440207635	0.00881820776709442	0.0118906211321125	0.00596922302483979	0.0103215830402998	0.0146739430557599	-0.00855762354786633	0.012872115683941	0.0343018549157484	-0.0294291401307887	0.0178812067824029	0.0651915536955945	-0.0416580922600411	-0.00957891718774625	0.0225002578845486	0.000764026379357609	0.0528223357561864	0.104880645133015	-0.0267820856878905	-0.00473673795331642	0.0173086097812576
PDL1	-0.00477720246610103	0.00376325022731054	0.0123037029207221	-0.0119714956432833	0.000126851942349543	0.0122251995279824	-0.0586000362130889	0.000968665129388318	0.0605373664718656	-0.0683027868928284	0.0632067893645404	0.194716365621909	-0.0674490110777674	0.0217221532805126	0.110893317638793	0.0579300945620383	0.202637682933428	0.347345271304817	-0.0663376010458702	-0.00505767967180399	0.0562222417022622
CD27	0.00642295748600304	0.0134271258732686	0.0204312942605343	-0.0069521860896664	0.0029698715271168	0.0128919291439	-0.0574120093782932	-0.00855871906789638	0.0402945712425004	-0.136368868233851	-0.0285156607153387	0.079337546803174	-0.00606368571363182	0.0670670806374011	0.140197846988434	0.185168352231088	0.303845470675901	0.422522589120715	-0.043625020467467	0.00663167006996433	0.0568883606073956
HGF	0.00799327663780137	0.0145240258894372	0.021054775141073	0.00852225311657339	0.0177736683842739	0.0270250836519745	-0.0753943410797519	-0.02984309623609	0.015708148607572	-0.0705650948255538	0.0299982005356291	0.130561495896812	-0.0166421625794394	0.051545618069423	0.119733398718285	-0.0392548776074623	0.0714007291136575	0.182056335834777	-0.0562810420641794	-0.00942125429640464	0.0374385334713701
GZMA	-0.00170107864433855	0.00473806153992897	0.0111772017241965	-0.011866559952362	-0.00274491747057858	0.00637672501120483	-0.0701570407137911	-0.0252447588584185	0.0196675229969541	-0.0651849847721475	0.0339676746352489	0.133120334042645	-0.0799052374396276	-0.0126739502573599	0.0545573369249078	-0.0262803134883299	0.0828230889541985	0.191926491396727	-0.0707297606367309	-0.0245272912391887	0.0216751781583534
HO1	-0.00216573543018682	0.00360930980837005	0.00938435504692691	-0.0153954034847573	-0.00721451341639898	0.000966376651959362	-0.0529763712676991	-0.0126960773062006	0.0275842166552979	-0.0559863105775112	0.0329403282616262	0.121866967100764	-0.0777742783422227	-0.0174768296436165	0.0428206190549897	-0.116510810883024	-0.0186596899638809	0.0791914309552625	-0.0608037427347005	-0.0193663235656384	0.0220710956034236
CX3CL1	0.00816398633493884	0.015017667418373	0.0218713485018071	-0.019432448913466	-0.00972357059458841	-1.46922757108432e-05	-0.021214718220668	0.0265889399941508	0.0743925982089695	-0.154313812299549	-0.0487778732291431	0.056758065841263	-0.0902852676777191	-0.0187257445131443	0.0528337786514306	0.108087718937639	0.224215012964508	0.340342306991376	-0.0781127597286013	-0.0289358538908384	0.0202410519469246
CD70	-0.00242048220684123	0.00409108752041246	0.0106026572476661	-0.00799657202813676	0.00122767365490214	0.010451919337941	-0.0635859867965136	-0.0181685169880665	0.0272489528203807	-0.0824687644127132	0.0177991963549931	0.118067157122699	-0.0677992416896564	0.00018828487638503	0.0681758114424265	-0.0814035979181134	0.0289270350786519	0.139257668075417	-0.00582040984526959	0.0409017599544275	0.0876239297541246
TNFRSF12A	0.00844094502377732	0.0152458167386914	0.0220506884536054	-0.00779410015462429	0.00184563514256699	0.0114853704397583	-0.0501929200563719	-0.00272970172225536	0.0447335166118612	-0.112284487651536	-0.00750013630158125	0.0972842150483732	-0.0304086770495709	0.0406412257964129	0.111691128642397	0.129693306090307	0.244993584704524	0.360293863318742	-0.0420091584581814	0.00681752773987366	0.0556442139379287
